"condition","title","phase","sponsor","sponsor_class"
"Depression/TRD","A Multicenter, Double-Blind, 58 Week Rollover Study to Assess the Safety and Tolerability of BMS-820836 in Patients With Treatment Resistant Major Depression","PHASE2","Bristol-Myers Squibb","INDUSTRY"
"Depression/TRD","Sustained Mood Improvement With Laughing Gas Exposure: A Randomized Controlled Double-Blind Trial","PHASE3","Women's College Hospital","OTHER"
"Depression/TRD","Placebo-Controlled Trial of Creatine Augmentation for Adolescent Females With Treatment-Resistant Major Depressive Disorder: a Magnetic Resonance Spectroscopy Study","PHASE4","Perry Renshaw","OTHER"
"Depression/TRD","Ketamine Plus Lithium as a Novel Pharmacotherapeutic Strategy in Treatment-Resistant Depression","PHASE2","Icahn School of Medicine at Mount Sinai","OTHER"
"Depression/TRD","Evaluation of the H-Coil Transcranial Magnetic Stimulation(TMS) Device- Augmentation for Drug Resistant Depression","PHASE1","Hadassah Medical Organization","OTHER"
"Depression/TRD","A Study to Assess the Long-Term Efficacy and Safety of Olanzapine and Fluoxetine Combination Versus Fluoxetine Only in the Relapse Prevention of Stabilized Patients With Treatment-Resistant Depression","PHASE3","Eli Lilly and Company","INDUSTRY"
"Depression/TRD","EEG Biomarker Development for Ketamine Administration","PHASE1","Soterix Medical","INDUSTRY"
"Depression/TRD","Placebo-Controlled Dose-Ranging Trial of Creatine Augmentation for Adolescent Females With Treatment-Resistant Major Depressive Disorder: a Magnetic Resonance Spectroscopy Study","EARLY_PHASE1","Perry Renshaw","OTHER"
"Depression/TRD","Inhaled Nitrous Oxide for Treatment-Resistant Depression: Optimizing Dosing Strategies","PHASE2","Washington University School of Medicine","OTHER"
"Depression/TRD","Incomplete Response in Late Life Depression: Getting to Remission","PHASE4","University of Pittsburgh","OTHER"
"Depression/TRD","An Investigation of the Antidepressant Effects of the Selective NR2B Antagonist MK-0657 in Major Depression","PHASE1","National Institute of Mental Health (NIMH)","NIH"
"Depression/TRD","Portable Transcranial Magnetic Stimulation (TMS) in a Van for Treatment-Resistant Depression","PHASE4","Medical University of South Carolina","OTHER"
"PTSD","Efficacy of Repetitive Transcranial Magnetic Stimulation Right Versus Left, With or Without Traumatic Stimuli in the Treatment of Posttraumatic Stress Disorder (PTSD) and Its Flashbacks","PHASE2","Beersheva Mental Health Center","OTHER_GOV"
"PTSD","Neurosteroid Intervention for PTSD in Iraq/Afghanistan-era Veterans","PHASE2","VA Office of Research and Development","FED"
"PTSD","Effects of THC on Retention of Memory for Fear Extinction Learning in PTSD: R61 Study","PHASE4","Wayne State University","OTHER"
"PTSD","A Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Safety and Efficacy of 50 mg NYX-783 Once Daily Compared to Placebo in Participants With Post-Traumatic Stress Disorder (PTSD)","PHASE2","Aptinyx","INDUSTRY"
"PTSD","A Pilot, Randomized, Double-blind, Placebo Controlled, Trial of Ramelteon for CPAP Non-Adherent Veterans With PTSD and Complex Insomnia","PHASE4","State University of New York at Buffalo","OTHER"
"PTSD","Gene Expression Correlates of PTSD Symptom Change After EFT (Emotional Freedom Techniques): A Randomized Controlled Trial","EARLY_PHASE1","Soul Medicine Institute","OTHER"
"PTSD","Evaluation of the Efficacy of the NK1 Antagonist GR205171 in Posttraumatic Stress Disorder","PHASE2","Baylor College of Medicine","OTHER"
"PTSD","Augmenting Prolonged Exposure Therapy for PTSD With Intranasal Oxytocin","PHASE2","Medical University of South Carolina","OTHER"
"PTSD","Dopamine Enhancement of Fear Extinction Learning in PTSD (1R21MH108753)","PHASE4","University of Wisconsin, Madison","OTHER"
"PTSD","At-Home Support for Rural Women Using Group Video Calling","PHASE1","Stanford University","OTHER"
"PTSD","Effects of Nabilone on Trauma Related Cue Reactivity in Cannabis Users With PTSD","PHASE1","New York State Psychiatric Institute","OTHER"
"PTSD","CSP #494 - A Randomized Clinical Trial of Cognitive-Behavioral Treatment for PTSD in Women (PTSD)","PHASE3","US Department of Veterans Affairs","FED"
"PTSD","Enhancing Prolonged Exposure Therapy for PTSD With Oxytocin","PHASE2","VA Office of Research and Development","FED"
"PTSD","Wayne State Warriors Marijuana Clinical Research Program: Cannabinoid Adjunct to Prolonged Exposure & Recovery","PHASE1","Wayne State University","OTHER"
"PTSD","Placebo-Controlled Trial of Risperidone Augmentation for SSRI-Resistant Civilian PTSD","PHASE2","Duke University","OTHER"
"PTSD","Randomized, Triple-Blind, Phase 2 Pilot Study Comparing 3 Different Doses of MDMA in Conjunction With Manualized Therapy in 24 Veterans, Firefighters and Police Officers With Chronic Posttraumatic Stress Disorder (PTSD)","PHASE2","Lykos Therapeutics","INDUSTRY"
"PTSD","Effects of Hydrocortisone and D-Cycloserine on Fear Extinction in Veterans With Posttraumatic Stress Disorder","PHASE4","VA Office of Research and Development","FED"
"PTSD","Novel Therapeutics in PTSD: A Randomized Clinical Trial of Mifepristone","PHASE2","James J. Peters Veterans Affairs Medical Center","FED"
"PTSD","Placebo-Controlled Trial of Risperidone Augmentation for SSRI-Resistant Civilian PTSD","PHASE1","Emory University","OTHER"
"PTSD","Zonisamide as a New Treatment for Post-Traumatic Stress Disorder and Co-Occurring Alcohol Use Disorder","PHASE2","Pharmacotherapies for Alcohol and Substance Use Disorders Alliance","OTHER"
"PTSD","An Unblinded, Uncontrolled, 1-month Interventional Single Group Pilot Study, to Assess the Possibility of Orgasmic Meditation Practice Being Used as a Possible Intervention for PTSD.","EARLY_PHASE1","Institute of OM Foundation","INDUSTRY"
"PTSD","Pilot Testing of Theta-Burst Neuromodulation for Chronic PTSD","PHASE1","VA Office of Research and Development","FED"
"PTSD","CBT for PTSD and SMI in Community Mental Health Centers","PHASE2","Medical University of South Carolina","OTHER"
"Bipolar","A Double-Blind Placebo Controlled Trial of Divalproex and Olanzapine in Bipolar I Disorder, Mixed Episode","PHASE4","Eli Lilly and Company","INDUSTRY"
"Bipolar","Effect of Oxcarbazepine on Serum Brain Derived Neurotrophic Factor (BDNF) in Bipolar Disorder","PHASE4","All India Institute of Medical Sciences, Bhubaneswar","OTHER"
"Bipolar","CSP #430 - Reducing The Efficacy-Effectiveness Gap In Bipolar Disorder","PHASE3","US Department of Veterans Affairs","FED"
"Bipolar","Open-label, Prospective Trial of Lamotrigine for Symptoms of Geriatric Bipolar Depression","PHASE3","University Hospitals Cleveland Medical Center","OTHER"
"Bipolar","Four Week, Double-Blind, Placebo Controlled Phase III Trial Evaluating The Efficacy, Safety And Pharmacokinetics Of Flexible Doses Of Oral Ziprasidone In Children And Adolescents With Bipolar I Disorder (Manic Or Mixed)","PHASE3","Pfizer's Upjohn has merged with Mylan to form Viatris Inc.","INDUSTRY"
"Bipolar","An Evaluation of the Efficacy of the Tumor Necrosis Factor-alpha Antagonist Infliximab in Treatment Resistant Major Depression: Mechanisms and Mediators","PHASE4","Emory University","OTHER"
"Bipolar","A Phase 1, 2-Part, Open-Label, Randomized, Crossover Pilot Trial to Assess the Relative Bioavailability of Quetiapine Versus Seroquel® 300-mg Oral Tablets in Subjects With Schizophrenia or Bipolar Disorder and 25-mg Oral Tablets in Healthy Subjects","PHASE1","Otsuka Pharmaceutical Development & Commercialization, Inc.","INDUSTRY"
"Bipolar","Placebo-controlled Study on the Pharmacokinetics,Pharmacodynamics, Safety and Tolerability of Concurrent Valproate and Bifeprunox Administration in Subjects With Bipolar I Disorder","PHASE2","Solvay Pharmaceuticals","INDUSTRY"
"Bipolar","COMbination of Bipolar Androgen Therapy and Nivolumab in Patients With Metastatic Castration-Resistant Prostate Cancer","PHASE2","Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins","OTHER"
"Bipolar","Targeting a Genetic Mutation in Glycine Metabolism With D-cycloserine","EARLY_PHASE1","Mclean Hospital","OTHER"
"Bipolar","Open-Label Study of Divalproex Sodium Extended Release for the Treatment of Mania in Children Ages 6-12 With Bipolar I, Bipolar II, and Bipolar Spectrum Disorder","PHASE4","Massachusetts General Hospital","OTHER"
"Bipolar","A Long-term, Multicenter, Open-Label, Flexible Dose Continuation Study in Subjects Who Have Completed a Prior Lurasidone Study","PHASE3","Sumitomo Pharma America, Inc.","INDUSTRY"
"Bipolar","A Psychological Intervention for Individuals Who Suffer From Sleep Disturbance and Bipolar Disorder","PHASE3","University of California, Berkeley","OTHER"
"Bipolar","Neuroimaging Study of Risk Factors for Adolescent Bipolar Disorder","PHASE4","University of Cincinnati","OTHER"
"Bipolar","Olanzapine Versus Active Comparator in the Treatment of Bipolar I Disorder, Manic or Mixed","PHASE4","Eli Lilly and Company","INDUSTRY"
"Bipolar","Open-Label Study of Bupropion SR for Major Depression and Depression NOS in Children and Adolescents With Bipolar and Bipolar Spectrum Disorder","PHASE4","Massachusetts General Hospital","OTHER"
"Bipolar","The Safety and Effectiveness of Probiotic Supplementation on Bipolar Depression: a Proof of Concept Randomized Controlled Trial","PHASE2","Women's College Hospital","OTHER"
"Bipolar","The Efficacy And Safety Of Flexible Dosage Ranges Of Risperidone Versus Placebo In The Treatment Of Manic Or Mixed Episodes Associated With Bipolar I Disorder","PHASE3","Johnson & Johnson Pharmaceutical Research & Development, L.L.C.","INDUSTRY"
"Bipolar","Differences in Cognitive Function Due to Acute Sedative Effects of Risperidone and Quetiapine in Stable Bipolar I Out-Patients.","PHASE3","Johnson & Johnson Pharmaceutical Research & Development, L.L.C.","INDUSTRY"
"Bipolar","Aripiprazole for Bipolar Disorder and Alcohol Use Disorder","PHASE3","University of Texas Southwestern Medical Center","OTHER"
"Bipolar","Nitrous Oxide as a Putative Novel Dual-Mechanism Treatment for Bipolar Disorder","PHASE2","Sunnybrook Health Sciences Centre","OTHER"
"Bipolar","A Phase IV, Multi-Center, Open-Label, Safety and Effectiveness Study of Extended-Release Carbamazepine in the Treatment of Mania in Children and Adolescents Aged 10-17 Years With Acute Manic or Mixed Bipolar I Disorder.","PHASE4","Validus Pharmaceuticals","INDUSTRY"
"Bipolar","A Randomized Controlled Trial of the Fatty Acid Amide Hydrolase Inhibitor Palmitoylethanolamide in Bipolar Depression","PHASE2","The University of Texas Health Science Center, Houston","OTHER"
"Bipolar","Radiofrequency-based Plasma Microdebridement Compared to Surgical Microdebridement for Treating Achilles Tendinosis: A Prospective, Randomized, Controlled Multi-Center Study""","PHASE4","ArthroCare Corporation","OTHER"
"Bipolar","A 50-Week Open-Label, Flexible-Dose Trial of Asenapine Extension Treatment to P06107 in Pediatric Subjects With Acute Manic or Mixed Episodes Associated With Bipolar I Disorder","PHASE3","Organon and Co","INDUSTRY"
"Bipolar","A Double-Blind, Placebo-Controlled, Parallel-Group, Fixed-Dosage Study to Evaluate the Efficacy and Safety of Armodafinil Treatment (150 mg/Day) as Adjunctive Therapy in Adults With Major Depression Associated With Bipolar I Disorder","PHASE3","Cephalon","INDUSTRY"
"Bipolar","A Multicenter, Randomized, Double-blind, Placebo-controlled Study to Assess the Efficacy and Safety of Lumateperone in the Acute Treatment of Patients With Manic Episodes or Manic Episodes With Mixed Features Associated With Bipolar I Disorder (Bipolar Mania)","PHASE3","Intra-Cellular Therapies, Inc.","INDUSTRY"
"Bipolar","16-week Open Randomized Comparative Effectiveness Trial of Lamotrigine vs. Fluoxetine for Bipolar Depression: Pharmacogenomic and Biomarker Predictors of Response","PHASE4","Mayo Clinic","OTHER"
"Bipolar","PET Imaging of Glial Activation in Psychotic Disease States","PHASE1","Johns Hopkins University","OTHER"
"Bipolar","Open Label Study of Iloperidone (IL) as Adjunctive Treatment in Mixed States (MS) of Bipolar Disorder (BD)","PHASE4","The University of Texas Health Science Center at San Antonio","OTHER"
"Bipolar","Open-Label Study of N-Acetylcysteine in Children and Adolescents Ages 5-17 With Bipolar I, Bipolar II, and Bipolar Spectrum Disorder","PHASE4","Massachusetts General Hospital","OTHER"
"Bipolar","Reducing Internalized Stigma In People With Serious Mental Illness","PHASE2","VA Office of Research and Development","FED"
"Bipolar","A Twelve-Week, Open, Randomized Trial Comparing Valproate to Lithium in Bipolar I Patients Suffering From a Manic Episode","PHASE4","Sanofi","INDUSTRY"
"Bipolar","Prediction of Clinical Response to SSRI Treatment in Bipolar Disorder Using Serotonin 1A Receptor PET Imaging","PHASE4","New York State Psychiatric Institute","OTHER"
"Bipolar","A 52-week, Open-label Extension Study to Evaluate the Safety and Tolerability of Licarbazepine in the Treatment of Manic Episodes of Bipolar I Disorder","PHASE4","Novartis","INDUSTRY"
"Bipolar","Functional Magnetic Resonance Imaging of Patients Receiving Intravenous Ketamine for Treatment Resistant Bipolar Depression","PHASE2","Brian Barnett","OTHER"
"Bipolar","Phase I Study of Bilateral DBS to the Nucleus Accumbens (NAcc-DBS) for Treatment Resistant Bipolar Disorder","PHASE2","University Hospital, Bonn","OTHER"
"Bipolar","Double Blind, Randomised, Placebo Controlled Study to Evaluate the Safety, Tolerability and Pharmacokinetics of Single Doses of GSK Drug and the Effect of Single Doses of GSK Drug or Lamotrigine on Resting Motor Threshold in Healthy Volunteers","PHASE1","Biogen","INDUSTRY"
"Bipolar","A Randomized, Double-blind, Placebo Controlled Study of the Efficacy of Adjunctive Lithium for the Treatment of Psychotic Mania Followed by an Open Label Long-term Safety Period.","PHASE4","Northwell Health","OTHER"
"Bipolar","The Effects of Aripiprazole on Patients With ""Metabolic Syndrome"": An Open-Label Trial","PHASE4","New Mexico VA Healthcare System","FED"
"Bipolar","Phase IIIb, Multicenter, Single-Arm Open-Label Study, Supporting the Development and the Validation of the MATHYS Scale (Multidimensional Assessment of THYmic States) in a Population of Bipolar Patients Treated With Olanzapine, Either in-Label (Manic and Mixed Patients) and Off-Label (Hypomanic and Bipolar Depression)","PHASE3","Eli Lilly and Company","INDUSTRY"
"Bipolar","Placebo Controlled Trial of Valproate and Risperidone in Young Children With Bipolar Disorders","PHASE3","Children's Hospital Medical Center, Cincinnati","OTHER"
"Bipolar","A Randomized, Double-blind, Placebo-controlled Study to Determine Efficacy and Safety of BXCL501 in Agitation Associated With Pediatric Schizophrenia and Bipolar Disorder","PHASE1","BioXcel Therapeutics Inc","INDUSTRY"
"Bipolar","Double-Blind, Randomized, Placebo-Controlled, Parallel-Group, Multicenter, Efficacy and Safety Study of Lithium in Bipolar I Disorder","PHASE3","JDS Pharmaceuticals","INDUSTRY"
"Schizophrenia","Effectiveness, Safety and Tolerability of Flexibly Dosed Paliperidone Palmitate in Patients With Schizophrenia Previously Unsuccessfully Treated by Oral Antipsychotics and With Acute Symptom of Schizophrenia: A 13-Week, Open-label, Single-arm, Multicenter, Prospective, Interventional Study Followed by a Naturalistic Additional 1 Year Follow up","PHASE4","Xian-Janssen Pharmaceutical Ltd.","INDUSTRY"
"Schizophrenia","A 24-week, Multicenter, Open-label Study to Evaluate the Safety and Efficacy of Clozapine in Patients With Treatment-resistant Schizophrenia","PHASE3","Novartis","INDUSTRY"
"Schizophrenia","Sertindole Versus Risperidone Safety Outcome Study: a Randomised, Partially-blinded, Parallel-group, Active-controlled, Post-marketing Study","PHASE3","H. Lundbeck A/S","INDUSTRY"
"Schizophrenia","Effects on Social and Cognition Functions of Blonanserin in First Episode Schizophrenia Patients","PHASE4","Sumitomo Pharma (Suzhou) Co., Ltd.","INDUSTRY"
"Schizophrenia","Efficacy of Quetiapine Compared to Risperidone on Negative Symptoms and Cognition With Regard to Underlying Neurobiological Mechanisms and Brain Activation.","PHASE3","AstraZeneca","INDUSTRY"
"Schizophrenia","Ascending Single Dose Study of the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of HTC-867 Administered Orally to Healthy Japanese Male Subjects","PHASE1","Wyeth is now a wholly owned subsidiary of Pfizer","INDUSTRY"
"Schizophrenia","A Randomised, Double Blind Pilot Study of Minocycline and Placebo Added to Treatment-as-Usual (TAU) in First-Episode Psychosis","PHASE1","Stanley Medical Research Institute","OTHER"
"Schizophrenia","An Open-label Prospective, Non-comparative Study to Evaluate the Subjective Experiences Upon Transition to Paliperidone Extended Release(ER) in Subjects With Schizophrenia","PHASE4","Janssen Korea, Ltd., Korea","INDUSTRY"
"Schizophrenia","A D2 Receptor Occupancy and fMRI Study in Schizophrenic Subjects Treated With Lurasidone","PHASE3","University of California, Irvine","OTHER"
"Schizophrenia","A Phase 1, 2-Part, Open-Label, Randomized, Crossover Pilot Trial to Assess the Relative Bioavailability of Quetiapine Versus Seroquel® 300-mg Oral Tablets in Subjects With Schizophrenia or Bipolar Disorder and 25-mg Oral Tablets in Healthy Subjects","PHASE1","Otsuka Pharmaceutical Development & Commercialization, Inc.","INDUSTRY"
"Schizophrenia","A Randomized, Double-Blind, Placebo Controlled, Sponsor Open, Phase 1b Study To Examine The Safety, Tolerability And Pharmacokinetics Of PF-04958242 In Psychiatrically Stable Subjects With Schizophrenia","PHASE1","Biogen","INDUSTRY"
"Schizophrenia","Double-blind, Placebo-controlled Trial Investigating the Safety of Re-exposure to 900 mg of Org 34517, Used as Adjunctive Therapy in Subjects With Psychotic Major Depression (Major Depressive Episode, Severe, With Psychotic Features), Who Participated in Trial 28130","PHASE2","Merck Sharp & Dohme LLC","INDUSTRY"
"Schizophrenia","An Open Label Trial of Ziprasidone as an Adjuvant for Clozapine- or Olanzapine-Associated Diabetes Mellitus or Impaired Fasting Glucose in Chronic Schizophrenia","PHASE4","North Suffolk Mental Health Association","OTHER"
"Schizophrenia","A Phase IIa, Randomized, Double-Blind, Placebo-Controlled, 2-Period, Cross-Over Clinical Trial to Study the Safety and Efficacy of MK0249 for the Treatment of Cognitive Impairment in Patients With Schizophrenia","PHASE2","Merck Sharp & Dohme LLC","INDUSTRY"
"Schizophrenia","A Phase 1, Two-part, Open-label, Randomized, Exploratory and Single Ascending Dose, Parallel Arm Trial to Determine the Pharmacokinetics, Safety, and Tolerability of Brexpiprazole Long-acting Injectable Administered Subcutaneously or Intramuscularly in Adult Subjects With Schizophrenia","PHASE1","Otsuka Pharmaceutical Development & Commercialization, Inc.","INDUSTRY"
"Schizophrenia","Protocol 331-13-009: An Exploratory, Multicenter, Randomized, Double-Blind, fMRI Study of Fixed-dose Brexpiprazole (OPC-34712) (2 and 4 mg/Day Tablets) in Adults With Schizophrenia With Impulsivity","PHASE3","Otsuka Pharmaceutical Development & Commercialization, Inc.","INDUSTRY"
"Schizophrenia","CONSTATRE: Risperdal Consta Trial Of Relapse Prevention And Effectiveness","PHASE3","Janssen-Cilag International NV","INDUSTRY"
"Schizophrenia","An Open-label Safety Study of Bifeprunox Investigating Flexible Doses of 20, 30, or 40mg/Day in Patients With Schizophrenia Who Have Completed Studies 10206 or 10265","PHASE3","H. Lundbeck A/S","INDUSTRY"
"Schizophrenia","Phase I, Randomized, Placebo-Controlled, Ascending Single Dose Study to Evaluate the Safety, Tolerability, and Pharmacokinetics of AMG 579 in Healthy Adult Subjects and Patients With Stable Schizophrenia or Schizoaffective Disorder","PHASE1","Amgen","INDUSTRY"
"Schizophrenia","A Multi-Center,Open-Labeled,Intervention Study:The Efficacy And Safety Of Intramuscular Ziprasidone For Three Days In Patients With Psychotic Agitation","PHASE4","Yang Fude","OTHER"
"Schizophrenia","Pilot Study of Atomoxetine To Enhance COgnition In Patients With Schizophrenia","PHASE4","Research Foundation for Mental Hygiene, Inc.","OTHER"
"Schizophrenia","Rapid Dose Escalation of Quetiapine Versus Conventional Escalation in the Treatment of Patients With Acute Schizophrenia - a Multicentre, Double-Blind, Parallel Group, Randomized Study","PHASE2","AstraZeneca","INDUSTRY"
"Schizophrenia","A 12-week, Phase 3, Multicenter, Randomized, Double-blind, Placebo-controlled Trial of Aripiprazole Intramuscular Depot (OPC-14597, Lu AF41155) in the Acute Treatment of Adults With Schizophrenia","PHASE3","Otsuka Pharmaceutical Development & Commercialization, Inc.","INDUSTRY"
"Schizophrenia","Targeting a Genetic Mutation in Glycine Metabolism With D-cycloserine","EARLY_PHASE1","Mclean Hospital","OTHER"
"Schizophrenia","A Phase 1b/2a, Double-blind, Placebo-controlled, Multiple Ascending Dose Study to Evaluate the Safety, Tolerability and Pharmacokinetics of APN1125 in Subjects With Schizophrenia","PHASE1","CoMentis","INDUSTRY"
"Schizophrenia","A Phase 1, Randomized, Open-label, Single Dose Study to Evaluate the Safety, Tolerability, and Pharmacokinetics of Aripiprazole Lauroxil Following Administration to the Deltoid or Gluteal Muscle in Adults With Schizophrenia or Schizoaffective Disorder","PHASE1","Alkermes, Inc.","INDUSTRY"
"Schizophrenia","A Randomized Double-blind Trial of Aripiprazole and Risperidone in Schizophrenia: An Evaluation of Neuroimaging, Neuropsychological, and Pharmacogenomic Markers of Differential Treatment Response","PHASE4","Kettering Health Network","OTHER"
"Schizophrenia","A Long-term, Multicenter, Open-Label, Flexible Dose Continuation Study in Subjects Who Have Completed a Prior Lurasidone Study","PHASE3","Sumitomo Pharma America, Inc.","INDUSTRY"
